ModelWeb Browser Results

msis model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 0.00,
Time_type = Local
Coordinate_type = Geographic
Latitude=   69.58, Longitude=   19.23, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  O, cm-3 
3  N2, cm-3
4  O2, cm-3
5  He, cm-3 

1         2         3         4         5         
    0.0  0.000E+00  2.211E+19  5.932E+18  1.484E+14
    1.0  0.000E+00  1.965E+19  5.273E+18  1.319E+14
    2.0  0.000E+00  1.751E+19  4.698E+18  1.175E+14
    3.0  0.000E+00  1.561E+19  4.189E+18  1.048E+14
    4.0  0.000E+00  1.390E+19  3.730E+18  9.331E+13
    5.0  0.000E+00  1.235E+19  3.313E+18  8.288E+13
    6.0  0.000E+00  1.093E+19  2.932E+18  7.334E+13
    7.0  0.000E+00  9.625E+18  2.582E+18  6.459E+13
    8.0  0.000E+00  8.431E+18  2.262E+18  5.658E+13
    9.0  0.000E+00  7.341E+18  1.969E+18  4.927E+13
   10.0  0.000E+00  6.353E+18  1.704E+18  4.263E+13
   11.0  0.000E+00  5.465E+18  1.466E+18  3.667E+13
   12.0  0.000E+00  4.681E+18  1.256E+18  3.141E+13
   13.0  0.000E+00  4.000E+18  1.073E+18  2.684E+13
   14.0  0.000E+00  3.415E+18  9.162E+17  2.292E+13
   15.0  0.000E+00  2.917E+18  7.827E+17  1.958E+13
   16.0  0.000E+00  2.495E+18  6.694E+17  1.674E+13
   17.0  0.000E+00  2.135E+18  5.726E+17  1.432E+13
   18.0  0.000E+00  1.824E+18  4.894E+17  1.224E+13
   19.0  0.000E+00  1.556E+18  4.174E+17  1.044E+13
   20.0  0.000E+00  1.324E+18  3.551E+17  8.883E+12
   21.0  0.000E+00  1.122E+18  3.011E+17  7.532E+12
   22.0  0.000E+00  9.488E+17  2.545E+17  6.367E+12
   23.0  0.000E+00  7.999E+17  2.146E+17  5.368E+12
   24.0  0.000E+00  6.727E+17  1.805E+17  4.514E+12
   25.0  0.000E+00  5.646E+17  1.515E+17  3.789E+12
   26.0  0.000E+00  4.729E+17  1.269E+17  3.174E+12
   27.0  0.000E+00  3.956E+17  1.061E+17  2.655E+12
   28.0  0.000E+00  3.305E+17  8.865E+16  2.218E+12
   29.0  0.000E+00  2.758E+17  7.399E+16  1.851E+12
   30.0  0.000E+00  2.301E+17  6.172E+16  1.544E+12
   31.0  0.000E+00  1.918E+17  5.146E+16  1.287E+12
   32.0  0.000E+00  1.599E+17  4.290E+16  1.073E+12
   33.0  0.000E+00  1.334E+17  3.578E+16  8.951E+11
   34.0  0.000E+00  1.117E+17  2.998E+16  7.499E+11
   35.0  0.000E+00  9.404E+16  2.523E+16  6.311E+11
   36.0  0.000E+00  7.949E+16  2.133E+16  5.335E+11
   37.0  0.000E+00  6.747E+16  1.810E+16  4.527E+11
   38.0  0.000E+00  5.747E+16  1.542E+16  3.857E+11
   39.0  0.000E+00  4.914E+16  1.318E+16  3.297E+11
   40.0  0.000E+00  4.214E+16  1.131E+16  2.828E+11
   41.0  0.000E+00  3.625E+16  9.726E+15  2.433E+11
   42.0  0.000E+00  3.127E+16  8.390E+15  2.099E+11
   43.0  0.000E+00  2.704E+16  7.255E+15  1.815E+11
   44.0  0.000E+00  2.344E+16  6.288E+15  1.573E+11
   45.0  0.000E+00  2.036E+16  5.462E+15  1.366E+11
   46.0  0.000E+00  1.771E+16  4.752E+15  1.189E+11
   47.0  0.000E+00  1.544E+16  4.142E+15  1.036E+11
   48.0  0.000E+00  1.348E+16  3.617E+15  9.048E+10
   49.0  0.000E+00  1.179E+16  3.163E+15  7.913E+10
   50.0  0.000E+00  1.033E+16  2.771E+15  6.930E+10
   51.0  0.000E+00  9.059E+15  2.430E+15  6.079E+10
   52.0  0.000E+00  7.956E+15  2.134E+15  5.339E+10
   53.0  0.000E+00  6.997E+15  1.877E+15  4.695E+10
   54.0  0.000E+00  6.160E+15  1.653E+15  4.134E+10
   55.0  0.000E+00  5.429E+15  1.456E+15  3.643E+10
   56.0  0.000E+00  4.788E+15  1.285E+15  3.213E+10
   57.0  0.000E+00  4.226E+15  1.134E+15  2.836E+10
   58.0  0.000E+00  3.730E+15  1.001E+15  2.503E+10
   59.0  0.000E+00  3.293E+15  8.835E+14  2.210E+10
   60.0  0.000E+00  2.907E+15  7.799E+14  1.951E+10
   61.0  0.000E+00  2.565E+15  6.881E+14  1.721E+10
   62.0  0.000E+00  2.262E+15  6.068E+14  1.518E+10
   63.0  0.000E+00  1.993E+15  5.346E+14  1.338E+10
   64.0  0.000E+00  1.754E+15  4.704E+14  1.180E+10
   65.0  0.000E+00  1.543E+15  4.135E+14  1.039E+10
   66.0  0.000E+00  1.355E+15  3.631E+14  9.138E+09
   67.0  0.000E+00  1.188E+15  3.184E+14  8.027E+09
   68.0  0.000E+00  1.041E+15  2.788E+14  7.041E+09
   69.0  0.000E+00  9.104E+14  2.438E+14  6.168E+09
   70.0  0.000E+00  7.951E+14  2.129E+14  5.394E+09
   71.0  0.000E+00  6.933E+14  1.856E+14  4.711E+09
   72.0  0.000E+00  6.037E+14  1.615E+14  4.108E+09
   73.0  1.736E+07  5.251E+14  1.405E+14  3.579E+09
   74.0  3.831E+07  4.562E+14  1.220E+14  3.117E+09
   75.0  8.328E+07  3.960E+14  1.059E+14  2.713E+09
   76.0  1.774E+08  3.436E+14  9.180E+13  2.361E+09
   77.0  3.682E+08  2.980E+14  7.956E+13  2.055E+09
   78.0  7.418E+08  2.583E+14  6.891E+13  1.788E+09
   79.0  1.445E+09  2.238E+14  5.966E+13  1.556E+09
   80.0  2.711E+09  1.938E+14  5.161E+13  1.355E+09
   81.0  4.892E+09  1.677E+14  4.463E+13  1.180E+09
   82.0  8.473E+09  1.451E+14  3.857E+13  1.028E+09
   83.0  1.407E+10  1.255E+14  3.331E+13  8.965E+08
   84.0  2.241E+10  1.085E+14  2.875E+13  7.822E+08
   85.0  3.421E+10  9.376E+13  2.480E+13  6.831E+08
   86.0  5.012E+10  8.097E+13  2.137E+13  5.972E+08
   87.0  7.055E+10  6.988E+13  1.841E+13  5.227E+08
   88.0  9.554E+10  6.027E+13  1.583E+13  4.582E+08
   89.0  1.247E+11  5.195E+13  1.361E+13  4.023E+08
   90.0  1.572E+11  4.474E+13  1.168E+13  3.539E+08
   91.0  1.917E+11  3.850E+13  1.001E+13  3.119E+08
   92.0  2.266E+11  3.308E+13  8.560E+12  2.754E+08
   93.0  2.601E+11  2.836E+13  7.303E+12  2.437E+08
   94.0  2.905E+11  2.426E+13  6.211E+12  2.161E+08
   95.0  3.161E+11  2.070E+13  5.264E+12  1.920E+08
   96.0  3.360E+11  1.761E+13  4.444E+12  1.710E+08
   97.0  3.495E+11  1.494E+13  3.738E+12  1.528E+08
   98.0  3.564E+11  1.263E+13  3.131E+12  1.369E+08
   99.0  3.570E+11  1.065E+13  2.612E+12  1.231E+08
  100.0  3.518E+11  8.957E+12  2.169E+12  1.111E+08
  101.0  3.418E+11  7.511E+12  1.795E+12  1.006E+08
  102.0  3.280E+11  6.285E+12  1.480E+12  9.153E+07
  103.0  3.115E+11  5.253E+12  1.217E+12  8.363E+07
  104.0  2.931E+11  4.387E+12  9.989E+11  7.676E+07
  105.0  2.738E+11  3.664E+12  8.186E+11  7.077E+07
  106.0  2.542E+11  3.061E+12  6.703E+11  6.552E+07
  107.0  2.347E+11  2.559E+12  5.486E+11  6.089E+07
  108.0  2.158E+11  2.143E+12  4.491E+11  5.678E+07
  109.0  1.976E+11  1.796E+12  3.679E+11  5.312E+07
  110.0  1.804E+11  1.509E+12  3.016E+11  4.981E+07
  111.0  1.642E+11  1.270E+12  2.477E+11  4.682E+07
  112.0  1.492E+11  1.071E+12  2.038E+11  4.409E+07
  113.0  1.353E+11  9.065E+11  1.681E+11  4.160E+07
  114.0  1.225E+11  7.695E+11  1.391E+11  3.932E+07
  115.0  1.110E+11  6.556E+11  1.156E+11  3.723E+07
  116.0  1.005E+11  5.608E+11  9.647E+10  3.532E+07
  117.0  9.106E+10  4.820E+11  8.092E+10  3.358E+07
  118.0  8.266E+10  4.163E+11  6.826E+10  3.200E+07
  119.0  7.523E+10  3.618E+11  5.797E+10  3.059E+07
  120.0  6.872E+10  3.165E+11  4.961E+10  2.935E+07
  121.0  6.308E+10  2.790E+11  4.281E+10  2.828E+07
  122.0  5.828E+10  2.481E+11  3.731E+10  2.739E+07
  123.0  5.426E+10  2.228E+11  3.286E+10  2.669E+07
  124.0  5.073E+10  2.013E+11  2.915E+10  2.610E+07
  125.0  4.754E+10  1.826E+11  2.597E+10  2.559E+07
  126.0  4.463E+10  1.662E+11  2.325E+10  2.513E+07
  127.0  4.198E+10  1.517E+11  2.089E+10  2.473E+07
  128.0  3.955E+10  1.390E+11  1.884E+10  2.436E+07
  129.0  3.733E+10  1.276E+11  1.705E+10  2.402E+07
  130.0  3.528E+10  1.175E+11  1.549E+10  2.370E+07
  131.0  3.340E+10  1.084E+11  1.411E+10  2.339E+07
  132.0  3.165E+10  1.002E+11  1.289E+10  2.310E+07
  133.0  3.004E+10  9.289E+10  1.180E+10  2.280E+07
  134.0  2.855E+10  8.625E+10  1.084E+10  2.251E+07
  135.0  2.716E+10  8.024E+10  9.978E+09  2.222E+07
  136.0  2.586E+10  7.477E+10  9.204E+09  2.193E+07
  137.0  2.466E+10  6.979E+10  8.508E+09  2.163E+07
  138.0  2.353E+10  6.524E+10  7.880E+09  2.134E+07
  139.0  2.248E+10  6.107E+10  7.312E+09  2.105E+07
  140.0  2.150E+10  5.725E+10  6.796E+09  2.076E+07
  141.0  2.057E+10  5.374E+10  6.327E+09  2.048E+07
  142.0  1.971E+10  5.051E+10  5.899E+09  2.020E+07
  143.0  1.889E+10  4.752E+10  5.508E+09  1.993E+07
  144.0  1.812E+10  4.476E+10  5.149E+09  1.966E+07
  145.0  1.740E+10  4.221E+10  4.820E+09  1.940E+07
  146.0  1.672E+10  3.984E+10  4.518E+09  1.915E+07
  147.0  1.608E+10  3.765E+10  4.239E+09  1.890E+07
  148.0  1.547E+10  3.560E+10  3.982E+09  1.866E+07
  149.0  1.489E+10  3.370E+10  3.744E+09  1.843E+07
  150.0  1.434E+10  3.192E+10  3.524E+09  1.820E+07
  151.0  1.383E+10  3.027E+10  3.320E+09  1.798E+07
  152.0  1.334E+10  2.872E+10  3.130E+09  1.777E+07
  153.0  1.287E+10  2.727E+10  2.954E+09  1.756E+07
  154.0  1.242E+10  2.591E+10  2.789E+09  1.736E+07
  155.0  1.200E+10  2.464E+10  2.636E+09  1.717E+07
  156.0  1.160E+10  2.344E+10  2.494E+09  1.698E+07
  157.0  1.122E+10  2.232E+10  2.360E+09  1.680E+07
  158.0  1.085E+10  2.126E+10  2.235E+09  1.662E+07
  159.0  1.050E+10  2.026E+10  2.118E+09  1.645E+07
  160.0  1.017E+10  1.933E+10  2.009E+09  1.628E+07
  161.0  9.849E+09  1.840E+10  1.906E+09  1.611E+07
  162.0  9.544E+09  1.757E+10  1.810E+09  1.595E+07
  163.0  9.252E+09  1.678E+10  1.719E+09  1.580E+07
  164.0  8.973E+09  1.604E+10  1.634E+09  1.565E+07
  165.0  8.704E+09  1.533E+10  1.554E+09  1.550E+07
  166.0  8.447E+09  1.467E+10  1.478E+09  1.536E+07
  167.0  8.200E+09  1.404E+10  1.407E+09  1.522E+07
  168.0  7.963E+09  1.344E+10  1.339E+09  1.508E+07
  169.0  7.736E+09  1.287E+10  1.276E+09  1.495E+07
  170.0  7.517E+09  1.233E+10  1.216E+09  1.482E+07
  171.0  7.306E+09  1.182E+10  1.159E+09  1.469E+07
  172.0  7.104E+09  1.133E+10  1.106E+09  1.457E+07
  173.0  6.909E+09  1.087E+10  1.055E+09  1.445E+07
  174.0  6.721E+09  1.043E+10  1.007E+09  1.433E+07
