#    km   O [cm-3]  N2 [cm-3]  O2 [cm-3]  He [cm-3]
    0.0  0.000E+00  2.201E+19  5.905E+18  1.477E+14
    0.6  0.000E+00  2.050E+19  5.500E+18  1.376E+14
    1.2  0.000E+00  1.912E+19  5.128E+18  1.283E+14
    1.8  0.000E+00  1.784E+19  4.786E+18  1.197E+14
    2.4  0.000E+00  1.665E+19  4.467E+18  1.117E+14
    3.0  0.000E+00  1.554E+19  4.170E+18  1.043E+14
    3.6  0.000E+00  1.450E+19  3.891E+18  9.732E+13
    4.2  0.000E+00  1.352E+19  3.627E+18  9.074E+13
    4.8  0.000E+00  1.259E+19  3.378E+18  8.451E+13
    5.4  0.000E+00  1.171E+19  3.142E+18  7.861E+13
    6.0  0.000E+00  1.088E+19  2.919E+18  7.301E+13
    6.6  0.000E+00  1.009E+19  2.706E+18  6.769E+13
    7.2  0.000E+00  9.335E+18  2.504E+18  6.265E+13
    7.8  0.000E+00  8.622E+18  2.313E+18  5.786E+13
    8.4  0.000E+00  7.947E+18  2.132E+18  5.333E+13
    9.0  0.000E+00  7.308E+18  1.961E+18  4.904E+13
    9.6  0.000E+00  6.706E+18  1.799E+18  4.500E+13
   10.2  0.000E+00  6.139E+18  1.647E+18  4.120E+13
   10.8  0.000E+00  5.609E+18  1.505E+18  3.764E+13
   11.4  0.000E+00  5.115E+18  1.372E+18  3.433E+13
   12.0  0.000E+00  4.660E+18  1.250E+18  3.127E+13
   12.6  0.000E+00  4.241E+18  1.138E+18  2.846E+13
   13.2  0.000E+00  3.858E+18  1.035E+18  2.589E+13
   13.8  0.000E+00  3.509E+18  9.413E+17  2.355E+13
   14.4  0.000E+00  3.192E+18  8.562E+17  2.142E+13
   15.0  0.000E+00  2.904E+18  7.791E+17  1.949E+13
   15.6  0.000E+00  2.644E+18  7.093E+17  1.774E+13
   16.2  0.000E+00  2.408E+18  6.459E+17  1.616E+13
   16.8  0.000E+00  2.192E+18  5.881E+17  1.471E+13
   17.4  0.000E+00  1.996E+18  5.354E+17  1.339E+13
   18.0  0.000E+00  1.816E+18  4.872E+17  1.219E+13
   18.6  0.000E+00  1.651E+18  4.430E+17  1.108E+13
   19.2  0.000E+00  1.500E+18  4.024E+17  1.007E+13
   19.8  0.000E+00  1.361E+18  3.652E+17  9.136E+12
   20.4  0.000E+00  1.234E+18  3.310E+17  8.281E+12
   21.0  0.000E+00  1.117E+18  2.997E+17  7.498E+12
   21.6  0.000E+00  1.011E+18  2.711E+17  6.781E+12
   22.2  0.000E+00  9.130E+17  2.449E+17  6.127E+12
   22.8  0.000E+00  8.241E+17  2.211E+17  5.530E+12
